OrderID,Date,Month,Region,Country,SalesRep,Product,Category,Units,UnitPrice,Revenue,Cost,Profit
SO-2025-05732,2025-01-01,2025-01,Europe,France,Oliver Smith,Mechanical Keyboard,Accessories,5,104.0,520.0,310.0,210.0
SO-2025-04771,2025-01-01,2025-01,Europe,Germany,Emma Laurent,Mechanical Keyboard,Accessories,7,126.1,882.7,434.0,448.7
SO-2025-01045,2025-01-01,2025-01,Europe,Germany,Noah Muller,UltraWide Monitor 34,Hardware,1,589.0,589.0,410.0,179.0
SO-2025-05690,2025-01-01,2025-01,Europe,Germany,Oliver Smith,Wireless Mouse,Accessories,5,53.95,269.75,120.0,149.75
SO-2025-05901,2025-01-01,2025-01,North America,Canada,Ava Thompson,UltraWide Monitor 34,Hardware,2,496.0,992.0,820.0,172.0
SO-2025-01379,2025-01-01,2025-01,Europe,United Kingdom,Emma Laurent,Mechanical Keyboard,Accessories,7,128.7,900.9,434.0,466.9
SO-2025-01822,2025-01-01,2025-01,Europe,Spain,Oliver Smith,Laptop Air 13,Hardware,2,892.5,1785.0,1400.0,385.0
SO-2025-02833,2025-01-01,2025-01,Europe,Spain,Noah Muller,Analytics Add-on,Software,24,387.0,9288.0,1680.0,7608.0
SO-2025-04299,2025-01-01,2025-01,North America,Mexico,Liam Chen,Laptop Pro 15,Hardware,1,1319.5,1319.5,980.0,339.5
SO-2025-00791,2025-01-01,2025-01,APAC,Japan,Priya Nair,Laptop Air 13,Hardware,1,903.0,903.0,700.0,203.0
SO-2025-02434,2025-01-01,2025-01,Europe,Spain,Oliver Smith,Wireless Mouse,Accessories,1,57.85,57.85,24.0,33.85
SO-2025-05385,2025-01-01,2025-01,Europe,Spain,Emma Laurent,USB-C Dock,Accessories,5,171.0,855.0,440.0,415.0
SO-2025-00750,2025-01-01,2025-01,Europe,United Kingdom,Noah Muller,Wireless Mouse,Accessories,2,59.15,118.3,48.0,70.3
SO-2025-05498,2025-01-01,2025-01,Europe,France,Emma Laurent,Mechanical Keyboard,Accessories,6,106.6,639.6,372.0,267.6
SO-2025-05629,2025-01-01,2025-01,Europe,France,Emma Laurent,Mechanical Keyboard,Accessories,9,123.5,1111.5,558.0,553.5
SO-2025-05846,2025-01-01,2025-01,APAC,Australia,Priya Nair,USB-C Dock,Accessories,5,156.6,783.0,440.0,343.0
SO-2025-01580,2025-01-01,2025-01,Europe,Germany,Oliver Smith,CRM Suite (annual),Software,5,882.0,4410.0,700.0,3710.0
SO-2025-05432,2025-01-02,2025-01,North America,Mexico,Sofia Ramirez,USB-C Dock,Accessories,10,153.0,1530.0,880.0,650.0
SO-2025-02988,2025-01-02,2025-01,Europe,United Kingdom,Oliver Smith,Laptop Air 13,Hardware,4,913.5,3654.0,2800.0,854.0
SO-2025-05897,2025-01-02,2025-01,North America,Canada,Ava Thompson,CRM Suite (annual),Software,17,747.0,12699.0,2380.0,10319.0
SO-2025-04580,2025-01-02,2025-01,LATAM,Chile,Diego Fernandez,Noise-Cancel Headset,Accessories,2,204.0,408.0,236.0,172.0
SO-2025-04836,2025-01-02,2025-01,APAC,Japan,Chloe Wong,Analytics Add-on,Software,16,360.0,5760.0,1120.0,4640.0
SO-2025-05040,2025-01-02,2025-01,Europe,Germany,Noah Muller,Wireless Mouse,Accessories,4,62.4,249.6,96.0,153.6
SO-2025-04004,2025-01-02,2025-01,Europe,United Kingdom,Oliver Smith,Analytics Add-on,Software,2,441.0,882.0,140.0,742.0
SO-2025-02480,2025-01-02,2025-01,Europe,France,Emma Laurent,Laptop Air 13,Hardware,4,913.5,3654.0,2800.0,854.0
SO-2025-04735,2025-01-02,2025-01,APAC,Japan,Priya Nair,Laptop Air 13,Hardware,3,1008.0,3024.0,2100.0,924.0
SO-2025-03465,2025-01-02,2025-01,APAC,Australia,Haruto Sato,USB-C Dock,Accessories,1,176.4,176.4,88.0,88.4
SO-2025-03470,2025-01-02,2025-01,Europe,Germany,Noah Muller,USB-C Dock,Accessories,9,176.4,1587.6,792.0,795.6
SO-2025-00908,2025-01-02,2025-01,North America,Canada,Liam Chen,Analytics Add-on,Software,19,445.5,8464.5,1330.0,7134.5
SO-2025-03154,2025-01-02,2025-01,North America,Canada,Ava Thompson,Analytics Add-on,Software,22,360.0,7920.0,1540.0,6380.0
SO-2025-05752,2025-01-03,2025-01,North America,United States,Ava Thompson,Wireless Mouse,Accessories,10,53.95,539.5,240.0,299.5
SO-2025-00221,2025-01-03,2025-01,North America,Mexico,Liam Chen,Mechanical Keyboard,Accessories,10,128.7,1287.0,620.0,667.0
SO-2025-03490,2025-01-03,2025-01,LATAM,Argentina,Mateo Silva,Analytics Add-on,Software,4,369.0,1476.0,280.0,1196.0
SO-2025-02341,2025-01-03,2025-01,APAC,Japan,Priya Nair,USB-C Dock,Accessories,8,176.4,1411.2,704.0,707.2
SO-2025-03310,2025-01-03,2025-01,APAC,Singapore,Chloe Wong,UltraWide Monitor 34,Hardware,1,496.0,496.0,410.0,86.0
SO-2025-03744,2025-01-03,2025-01,APAC,Japan,Priya Nair,Laptop Pro 15,Hardware,2,1392.0,2784.0,1960.0,824.0
SO-2025-01166,2025-01-03,2025-01,APAC,Singapore,Chloe Wong,Wireless Mouse,Accessories,5,55.25,276.25,120.0,156.25
SO-2025-02466,2025-01-03,2025-01,APAC,India,Chloe Wong,Laptop Pro 15,Hardware,4,1377.5,5510.0,3920.0,1590.0
SO-2025-03350,2025-01-03,2025-01,Europe,Germany,Noah Muller,Wireless Mouse,Accessories,6,58.5,351.0,144.0,207.0
SO-2025-03347,2025-01-03,2025-01,North America,Canada,Ava Thompson,Noise-Cancel Headset,Accessories,6,228.0,1368.0,708.0,660.0
SO-2025-00036,2025-01-03,2025-01,Europe,France,Emma Laurent,UltraWide Monitor 34,Hardware,3,589.0,1767.0,1230.0,537.0
SO-2025-03963,2025-01-03,2025-01,North America,Canada,Ava Thompson,Analytics Add-on,Software,19,373.5,7096.5,1330.0,5766.5
SO-2025-04988,2025-01-04,2025-01,Europe,Germany,Noah Muller,UltraWide Monitor 34,Hardware,1,607.6,607.6,410.0,197.6
SO-2025-02150,2025-01-04,2025-01,APAC,India,Chloe Wong,Laptop Air 13,Hardware,1,997.5,997.5,700.0,297.5
SO-2025-00660,2025-01-04,2025-01,Europe,United Kingdom,Noah Muller,USB-C Dock,Accessories,7,156.6,1096.2,616.0,480.2
SO-2025-04974,2025-01-04,2025-01,North America,Canada,Liam Chen,CRM Suite (annual),Software,16,756.0,12096.0,2240.0,9856.0
SO-2025-04619,2025-01-04,2025-01,North America,Mexico,Ava Thompson,Wireless Mouse,Accessories,1,57.2,57.2,24.0,33.2
SO-2025-05257,2025-01-04,2025-01,LATAM,Argentina,Diego Fernandez,Security Suite,Software,24,602.0,14448.0,2640.0,11808.0
SO-2025-05787,2025-01-04,2025-01,North America,Canada,Liam Chen,Wireless Mouse,Accessories,7,63.05,441.35,168.0,273.35
SO-2025-04944,2025-01-04,2025-01,Europe,United Kingdom,Emma Laurent,Mechanical Keyboard,Accessories,6,107.9,647.4,372.0,275.4
SO-2025-04942,2025-01-04,2025-01,North America,Canada,Sofia Ramirez,Laptop Pro 15,Hardware,2,1421.0,2842.0,1960.0,882.0
